Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
chang,4,chang4,Yes,唱,to sing  / to call loudly  / to chant; free  / unimpeded  / smooth  / at ease  / free from worry  / fluent; to initiate  / to instigate  / to introduce  / to lead
chao,1,chao1,Yes,抄,to make a copy  / to plagiarize  / to search and seize  / to raid  / to grab  / to go off with  / to take a shortcut  / to make a turning move  / to fold one&#039;s arms; to exceed  / to overtake  / to surpass  / to transcend  / to pass  / to cross  / ultra-  / super-; to blanch; to parboil
chao,2,chao2,No,,
chao,3,chao3,Yes,吵,to quarrel  / to make a noise  / noisy  / to disturb by making a noise; to sauté; to stir-fry  / to speculate (in real estate etc); to scalp  / to hype up  / to sack; to fire (sb)
chao,4,chao4,Yes,耖,harrow-like implement for pulverizing clods of soil  / to level ground with such an implement
che,1,che1,Yes,车,car  / vehicle  / CL: 輛｜辆 / machine  / to shape with a lathe  / Kangxi radical 159; surname Che; used in 硨磲｜砗磲
che,2,che2,No,,
che,3,che3,Yes,扯,"to pull  / to tear  / (of cloth, thread etc) to buy  / to chat  / to gossip  / (coll.) (Tw) ridiculous  / hokey; variant of 扯  / to pull  / to tear; one of the characters used to represent a musical note in gongche notation, 工尺譜｜工尺谱"
che,4,che4,Yes,撤,to remove; to take away; thorough  / penetrating  / to pervade  / to pass through; clear (water)  / thorough
chen,1,chen1,Yes,郴,name of a district in Hunan; precious stone  / gem; to be angry at  / to be displeased and annoyed
chen,2,chen2,Yes,沉,to submerge  / to immerse  / to sink  / to keep down  / to lower  / to drop  / deep  / profound  / heavy; variant of 沉; surname Chen
chen,3,chen3,Yes,碜,gritty (of food)  / unsightly
chen,4,chen4,Yes,趁,to avail oneself of  / to take advantage of; old variant of 趁; to fit; to match; to suit  / (coll.) to have; to possess  / Taiwan pr. [cheng4]
cheng,1,cheng1,Yes,称,to weigh  / to state  / to name  / name  / appellation  / to praise; to support  / to prop up  / to push or move with a pole  / to maintain  / to open or unfurl  / to fill to bursting point  / brace  / stay  / support; tinkling of gems
cheng,2,cheng2,Yes,成,"to succeed  / to finish  / to complete  / to accomplish  / to become  / to turn into  / to be all right  / OK!  / one tenth; city walls  / city  / town  / CL: 座, 道, 個｜个; to ride  / to mount  / to make use of  / to avail oneself of  / to take advantage of  / to multiply (math.)  / Buddhist sect or creed"
cheng,3,cheng3,No,,
cheng,4,cheng4,Yes,秤,steelyard balance; Roman balance  / CL: 臺｜台; old variant of 秤
chong,1,chong1,Yes,冲,(of water) to dash against  / to mix with water  / to infuse  / to rinse  / to flush  / to develop (a film)  / to rise in the air  / to clash  / to collide with; thoroughfare  / to go straight ahead  / to rush  / to clash; sufficient; full  / to fill  / to serve as; to act as  / to act falsely as; to pose as
chong,2,chong2,Yes,重,"to repeat  / repetition  / again  / re-  / classifier: layer; lower form of animal life, including insects, insect larvae, worms and similar creatures  / CL: 條｜条, 隻｜只 / (fig.) person with a particular undesirable characteristic; surname Chong"
chong,3,chong3,Yes,宠,to love  / to pamper  / to spoil  / to favor
chong,4,chong4,Yes,冲,powerful  / vigorous  / pungent  / towards  / in view of; ancient firearm  / gun; poke out  / punch  / push into
